model,scenario,ASR_strict,Leakage_rate
mistral,Baseline RAG,0.0,0.36666666666666664
mistral,Baseline RAG + Defense v1,0.0,0.0
mistral,Baseline RAG + Defense v2,0.0,0.0
mistral,Vulnerable RAG,0.6,1.0
mistral,Vulnerable RAG + Defense v1,0.0,0.0
mistral,Vulnerable RAG + Defense v2,0.0,0.0
mistral,Multi-turn context injection,0.2,1.0
llama3,Baseline RAG,0.0,0.13333333333333333
llama3,Baseline RAG + Defense v1,0.0,0.0
llama3,Baseline RAG + Defense v2,0.0,0.0
llama3,Vulnerable RAG,0.4666666666666667,0.9333333333333333
llama3,Vulnerable RAG + Defense v1,0.0,0.0
llama3,Vulnerable RAG + Defense v2,0.0,0.0
llama3,Multi-turn context injection,0.9,1.0
phi3,Baseline RAG,0.0,0.2
phi3,Baseline RAG + Defense v1,0.0,0.0
phi3,Baseline RAG + Defense v2,0.0,0.0
phi3,Vulnerable RAG,0.8666666666666667,1.0
phi3,Vulnerable RAG + Defense v1,0.0,0.0
phi3,Vulnerable RAG + Defense v2,0.0,0.0
phi3,Multi-turn context injection,0.8,1.0
qwen2:7b,Baseline RAG,0.06666666666666667,0.6666666666666666
qwen2:7b,Baseline RAG + Defense v1,0.0,0.0
qwen2:7b,Baseline RAG + Defense v2,0.0,0.0
qwen2:7b,Vulnerable RAG,0.4,1.0
qwen2:7b,Vulnerable RAG + Defense v1,0.0,0.0
qwen2:7b,Vulnerable RAG + Defense v2,0.0,0.0
qwen2:7b,Multi-turn context injection,0.6,1.0
